datetime,from,to,distance_m,duration_s
2024-01-30 21:10:01.821606,Krumpaul,Höhle,2174,184
2024-01-30 21:10:01.821606,Krumpaul,Krankenhaus,1539,147
2024-01-30 21:10:01.661444,Krankenhaus,Höhle,1902,176
2024-01-30 21:10:01.661444,Krankenhaus,Krumpaul,1560,145
2024-01-30 21:10:01.465752,Höhle,Krankenhaus,1905,183
2024-01-30 21:10:01.465752,Höhle,Krumpaul,2154,181
2024-01-30 21:00:01.791566,Krumpaul,Höhle,2174,184
2024-01-30 21:00:01.791566,Krumpaul,Krankenhaus,1539,147
2024-01-30 21:00:01.672754,Krankenhaus,Höhle,1902,176
2024-01-30 21:00:01.672754,Krankenhaus,Krumpaul,1560,145
2024-01-30 21:00:01.457787,Höhle,Krankenhaus,1905,183
2024-01-30 21:00:01.457787,Höhle,Krumpaul,2154,181
2024-01-30 20:50:01.146463,Krumpaul,Höhle,2174,184
2024-01-30 20:50:01.146463,Krumpaul,Krankenhaus,1539,147
2024-01-30 20:50:00.997423,Krankenhaus,Höhle,1902,176
2024-01-30 20:50:00.997423,Krankenhaus,Krumpaul,1560,145
2024-01-30 20:50:00.789207,Höhle,Krankenhaus,1905,183
2024-01-30 20:50:00.789207,Höhle,Krumpaul,2154,181
2024-01-30 20:40:01.773995,Krumpaul,Höhle,2174,184
2024-01-30 20:40:01.773995,Krumpaul,Krankenhaus,1539,147
2024-01-30 20:40:01.601507,Krankenhaus,Höhle,1902,176
2024-01-30 20:40:01.601507,Krankenhaus,Krumpaul,1560,145
2024-01-30 20:40:01.374926,Höhle,Krankenhaus,1905,183
2024-01-30 20:40:01.374926,Höhle,Krumpaul,2154,181
2024-01-30 20:30:01.568108,Krumpaul,Höhle,2174,184
2024-01-30 20:30:01.568108,Krumpaul,Krankenhaus,1539,147
2024-01-30 20:30:01.440057,Krankenhaus,Höhle,1902,176
2024-01-30 20:30:01.440057,Krankenhaus,Krumpaul,1560,145
2024-01-30 20:30:01.233618,Höhle,Krankenhaus,1905,183
2024-01-30 20:30:01.233618,Höhle,Krumpaul,2154,181
2024-01-30 20:20:01.232591,Krumpaul,Höhle,2174,184
2024-01-30 20:20:01.232591,Krumpaul,Krankenhaus,1539,147
2024-01-30 20:20:01.077567,Krankenhaus,Höhle,1902,176
2024-01-30 20:20:01.077567,Krankenhaus,Krumpaul,1560,145
2024-01-30 20:20:00.83796,Höhle,Krankenhaus,1905,183
2024-01-30 20:20:00.83796,Höhle,Krumpaul,2154,181
2024-01-30 20:10:02.293651,Krumpaul,Höhle,2174,184
2024-01-30 20:10:02.293651,Krumpaul,Krankenhaus,1539,147
2024-01-30 20:10:02.12405,Krankenhaus,Höhle,1902,176
2024-01-30 20:10:02.12405,Krankenhaus,Krumpaul,1560,145
2024-01-30 20:10:01.907454,Höhle,Krankenhaus,1905,183
2024-01-30 20:10:01.907454,Höhle,Krumpaul,2154,181
2024-01-30 20:00:02.361809,Krumpaul,Höhle,2174,184
2024-01-30 20:00:02.361809,Krumpaul,Krankenhaus,1539,147
2024-01-30 20:00:02.198256,Krankenhaus,Höhle,1902,176
2024-01-30 20:00:02.198256,Krankenhaus,Krumpaul,1560,145
2024-01-30 20:00:01.99364,Höhle,Krankenhaus,1905,183
2024-01-30 20:00:01.99364,Höhle,Krumpaul,2154,181
2024-01-30 19:50:01.890841,Krumpaul,Höhle,2174,184
2024-01-30 19:50:01.890841,Krumpaul,Krankenhaus,1539,147
2024-01-30 19:50:01.7451,Krankenhaus,Höhle,1902,176
2024-01-30 19:50:01.7451,Krankenhaus,Krumpaul,1560,145
2024-01-30 19:50:01.537435,Höhle,Krankenhaus,1905,183
2024-01-30 19:50:01.537435,Höhle,Krumpaul,2154,181
2024-01-30 19:40:01.928045,Krumpaul,Höhle,2174,184
2024-01-30 19:40:01.928045,Krumpaul,Krankenhaus,1539,147
2024-01-30 19:40:01.748618,Krankenhaus,Höhle,1902,176
2024-01-30 19:40:01.748618,Krankenhaus,Krumpaul,1560,145
2024-01-30 19:40:01.525592,Höhle,Krankenhaus,1905,183
2024-01-30 19:40:01.525592,Höhle,Krumpaul,2154,181
2024-01-30 19:30:01.875985,Krumpaul,Höhle,2174,184
2024-01-30 19:30:01.875985,Krumpaul,Krankenhaus,1539,147
2024-01-30 19:30:01.724999,Krankenhaus,Höhle,1902,176
2024-01-30 19:30:01.724999,Krankenhaus,Krumpaul,1560,145
2024-01-30 19:30:01.509428,Höhle,Krankenhaus,1905,183
2024-01-30 19:30:01.509428,Höhle,Krumpaul,2154,181
2024-01-30 19:20:02.405385,Krumpaul,Höhle,2174,184
2024-01-30 19:20:02.405385,Krumpaul,Krankenhaus,1539,147
2024-01-30 19:20:02.199935,Krankenhaus,Höhle,1902,176
2024-01-30 19:20:02.199935,Krankenhaus,Krumpaul,1560,145
2024-01-30 19:20:01.977712,Höhle,Krankenhaus,1905,183
2024-01-30 19:20:01.977712,Höhle,Krumpaul,2154,181
2024-01-30 19:10:02.236539,Krumpaul,Höhle,2174,184
2024-01-30 19:10:02.236539,Krumpaul,Krankenhaus,1539,147
2024-01-30 19:10:02.072915,Krankenhaus,Höhle,1902,176
2024-01-30 19:10:02.072915,Krankenhaus,Krumpaul,1560,145
2024-01-30 19:10:01.903362,Höhle,Krankenhaus,1905,183
2024-01-30 19:10:01.903362,Höhle,Krumpaul,2154,181
2024-01-30 19:00:02.166051,Krumpaul,Höhle,2174,184
2024-01-30 19:00:02.166051,Krumpaul,Krankenhaus,1539,147
2024-01-30 19:00:01.98894,Krankenhaus,Höhle,1902,176
2024-01-30 19:00:01.98894,Krankenhaus,Krumpaul,1560,145
2024-01-30 19:00:01.773521,Höhle,Krankenhaus,1905,183
2024-01-30 19:00:01.773521,Höhle,Krumpaul,2154,181
2024-01-30 18:50:01.183267,Krumpaul,Höhle,2174,184
2024-01-30 18:50:01.183267,Krumpaul,Krankenhaus,1539,147
2024-01-30 18:50:01.008715,Krankenhaus,Höhle,1902,176
2024-01-30 18:50:01.008715,Krankenhaus,Krumpaul,1560,145
2024-01-30 18:50:00.772902,Höhle,Krankenhaus,1905,183
2024-01-30 18:50:00.772902,Höhle,Krumpaul,2154,181
2024-01-30 18:40:02.085239,Krumpaul,Höhle,2174,184
2024-01-30 18:40:02.085239,Krumpaul,Krankenhaus,1539,147
2024-01-30 18:40:01.924375,Krankenhaus,Höhle,1902,176
2024-01-30 18:40:01.924375,Krankenhaus,Krumpaul,1560,145
2024-01-30 18:40:01.729959,Höhle,Krankenhaus,1905,183
2024-01-30 18:40:01.729959,Höhle,Krumpaul,2154,181
2024-01-30 18:30:01.880626,Krumpaul,Höhle,2174,184
2024-01-30 18:30:01.880626,Krumpaul,Krankenhaus,1539,147
2024-01-30 18:30:01.721776,Krankenhaus,Höhle,1902,176
2024-01-30 18:30:01.721776,Krankenhaus,Krumpaul,1560,145
2024-01-30 18:30:01.504693,Höhle,Krankenhaus,1905,183
2024-01-30 18:30:01.504693,Höhle,Krumpaul,2154,181
2024-01-30 18:20:02.325535,Krumpaul,Höhle,2174,184
2024-01-30 18:20:02.325535,Krumpaul,Krankenhaus,1539,147
2024-01-30 18:20:02.171982,Krankenhaus,Höhle,1902,176
2024-01-30 18:20:02.171982,Krankenhaus,Krumpaul,1560,145
2024-01-30 18:20:01.982212,Höhle,Krankenhaus,1905,183
2024-01-30 18:20:01.982212,Höhle,Krumpaul,2154,181
2024-01-30 18:10:02.307861,Krumpaul,Höhle,2174,184
2024-01-30 18:10:02.307861,Krumpaul,Krankenhaus,1539,147
2024-01-30 18:10:02.131683,Krankenhaus,Höhle,1902,176
2024-01-30 18:10:02.131683,Krankenhaus,Krumpaul,1560,145
2024-01-30 18:10:01.926206,Höhle,Krankenhaus,1905,183
2024-01-30 18:10:01.926206,Höhle,Krumpaul,2154,181
2024-01-30 18:00:01.506852,Krumpaul,Höhle,2174,184
2024-01-30 18:00:01.506852,Krumpaul,Krankenhaus,1539,147
2024-01-30 18:00:01.348361,Krankenhaus,Höhle,1902,176
2024-01-30 18:00:01.348361,Krankenhaus,Krumpaul,1560,145
2024-01-30 18:00:01.1505,Höhle,Krankenhaus,1905,183
2024-01-30 18:00:01.1505,Höhle,Krumpaul,2154,181
2024-01-30 17:50:01.440063,Krumpaul,Höhle,2174,184
2024-01-30 17:50:01.440063,Krumpaul,Krankenhaus,1539,147
2024-01-30 17:50:01.24052,Krankenhaus,Höhle,1902,176
2024-01-30 17:50:01.24052,Krankenhaus,Krumpaul,1560,145
2024-01-30 17:50:01.000677,Höhle,Krankenhaus,1905,183
2024-01-30 17:50:01.000677,Höhle,Krumpaul,2154,181
2024-01-30 17:40:02.321735,Krumpaul,Höhle,2174,184
2024-01-30 17:40:02.321735,Krumpaul,Krankenhaus,1539,147
2024-01-30 17:40:02.153907,Krankenhaus,Höhle,1902,176
2024-01-30 17:40:02.153907,Krankenhaus,Krumpaul,1560,145
2024-01-30 17:40:01.951293,Höhle,Krankenhaus,1905,183
2024-01-30 17:40:01.951293,Höhle,Krumpaul,2154,181
2024-01-30 17:30:01.875911,Krumpaul,Höhle,2174,184
2024-01-30 17:30:01.875911,Krumpaul,Krankenhaus,1539,147
2024-01-30 17:30:01.720006,Krankenhaus,Höhle,1902,176
2024-01-30 17:30:01.720006,Krankenhaus,Krumpaul,1560,145
2024-01-30 17:30:01.479985,Höhle,Krankenhaus,1905,183
2024-01-30 17:30:01.479985,Höhle,Krumpaul,2154,181
2024-01-30 17:20:01.265991,Krumpaul,Höhle,2174,184
2024-01-30 17:20:01.265991,Krumpaul,Krankenhaus,1539,147
2024-01-30 17:20:01.145502,Krankenhaus,Höhle,1902,176
2024-01-30 17:20:01.145502,Krankenhaus,Krumpaul,1560,145
2024-01-30 17:20:00.962397,Höhle,Krankenhaus,1905,183
2024-01-30 17:20:00.962397,Höhle,Krumpaul,2154,181
2024-01-30 17:10:01.654065,Krumpaul,Höhle,2174,184
2024-01-30 17:10:01.654065,Krumpaul,Krankenhaus,1539,147
2024-01-30 17:10:01.506473,Krankenhaus,Höhle,1902,176
2024-01-30 17:10:01.506473,Krankenhaus,Krumpaul,1560,145
2024-01-30 17:10:01.298429,Höhle,Krankenhaus,1905,183
2024-01-30 17:10:01.298429,Höhle,Krumpaul,2154,181
2024-01-30 17:00:01.201647,Krumpaul,Höhle,2174,184
2024-01-30 17:00:01.201647,Krumpaul,Krankenhaus,1539,147
2024-01-30 17:00:01.064584,Krankenhaus,Höhle,1902,176
2024-01-30 17:00:01.064584,Krankenhaus,Krumpaul,1560,145
2024-01-30 17:00:00.883107,Höhle,Krankenhaus,1905,183
