from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Höhle,Krumpaul,2154,181,168,2024-01-22T21:10:01.349012000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,170,2024-01-22T21:00:02.309883000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,133,2024-01-22T21:00:02.309883000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,154,2024-01-22T21:00:02.187077000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,129,2024-01-22T21:00:02.187077000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,165,2024-01-22T21:00:02.016047000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,169,2024-01-22T21:00:02.016047000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,166,2024-01-22T20:50:01.856524000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,133,2024-01-22T20:50:01.856524000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,154,2024-01-22T20:50:01.716507000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,130,2024-01-22T20:50:01.716507000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,165,2024-01-22T20:50:01.500330000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,169,2024-01-22T20:50:01.500330000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,165,2024-01-22T20:40:02.213515000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,133,2024-01-22T20:40:02.213515000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,154,2024-01-22T20:40:02.084264000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,130,2024-01-22T20:40:02.084264000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,166,2024-01-22T20:40:01.882539000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,168,2024-01-22T20:40:01.882539000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,167,2024-01-22T20:30:02.407249000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,131,2024-01-22T20:30:02.407249000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,155,2024-01-22T20:30:02.263723000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,132,2024-01-22T20:30:02.263723000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,161,2024-01-22T20:30:02.069192000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,167,2024-01-22T20:30:02.069192000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,165,2024-01-22T20:20:01.850275000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,131,2024-01-22T20:20:01.850275000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,157,2024-01-22T20:20:01.700868000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,132,2024-01-22T20:20:01.700868000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,163,2024-01-22T20:20:01.524230000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,168,2024-01-22T20:20:01.524230000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,165,2024-01-22T20:10:02.451338000,Krumpaul -> Höhle
