from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Krankenhaus,Höhle,1902,174,181,2023-12-22T08:13:40.071396000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,154,2023-12-22T08:13:40.071396000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,190,2023-12-22T08:13:40.071396000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,161,2023-12-22T08:13:40.071396000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,202,2023-12-22T13:12:01.968502000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,195,2023-12-22T13:12:01.968502000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,193,2023-12-22T13:12:01.968502000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,168,2023-12-22T13:12:01.968502000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,208,2023-12-22T13:12:01.968502000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,176,2023-12-22T13:12:01.968502000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,195,2023-12-23T12:50:01.816568000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,196,2023-12-23T12:50:01.816568000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,188,2023-12-23T12:50:01.816568000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,157,2023-12-23T12:50:01.816568000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,189,2023-12-23T12:50:01.816568000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,151,2023-12-23T12:50:01.816568000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,191,2023-12-22T16:10:37.485336000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,187,2023-12-22T16:10:37.485336000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,213,2023-12-22T16:10:37.485336000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,171,2023-12-22T16:10:37.485336000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,221,2023-12-22T16:10:37.485336000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,171,2023-12-22T16:10:37.485336000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,188,2023-12-23T11:35:37.443935000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,187,2023-12-23T11:35:37.443935000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,193,2023-12-23T11:35:37.443935000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,163,2023-12-23T11:35:37.443935000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,193,2023-12-23T11:35:37.443935000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,160,2023-12-23T11:35:37.443935000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,159,2023-12-23T21:20:01.962250000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,162,2023-12-23T21:20:01.962250000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-23T21:20:01.962250000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,127,2023-12-23T21:20:01.962250000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,175,2023-12-23T21:20:01.962250000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,136,2023-12-23T21:20:01.962250000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,210,2023-12-21T11:10:01.435424000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,200,2023-12-21T11:10:01.435424000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,209,2023-12-21T11:10:01.435424000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,183,2023-12-21T11:10:01.435424000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,206,2023-12-21T11:10:01.435424000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,175,2023-12-21T11:10:01.435424000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,219,2023-12-25T07:00:03.195731000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,211,2023-12-25T07:00:03.195731000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,202,2023-12-25T07:00:03.195731000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,167,2023-12-25T07:00:03.195731000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,210,2023-12-25T07:00:03.195731000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,177,2023-12-25T07:00:03.195731000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,158,2023-12-20T21:21:56.063346000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,157,2023-12-20T21:21:56.063346000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,155,2023-12-20T21:21:56.063346000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,119,2023-12-20T21:21:56.063346000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,164,2023-12-20T21:21:56.063346000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,129,2023-12-20T21:21:56.063346000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,198,2023-12-21T08:50:01.464156000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,190,2023-12-21T08:50:01.464156000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,210,2023-12-21T08:50:01.464156000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,174,2023-12-21T08:50:01.464156000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,199,2023-12-21T08:50:01.464156000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,163,2023-12-21T08:50:01.464156000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,184,2023-12-21T14:10:02.301512000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,189,2023-12-21T14:10:02.301512000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,183,2023-12-21T14:10:02.301512000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,161,2023-12-21T14:10:02.301512000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,194,2023-12-21T14:10:02.301512000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,158,2023-12-21T14:10:02.301512000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,199,2023-12-25T06:40:01.549334000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,197,2023-12-25T06:40:01.549334000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,184,2023-12-25T06:40:01.549334000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,151,2023-12-25T06:40:01.549334000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,191,2023-12-25T06:40:01.549334000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,157,2023-12-25T06:40:01.549334000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,149,2023-12-24T05:45:01.283569000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,159,2023-12-24T05:45:01.283569000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,143,2023-12-24T05:45:01.283569000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,118,2023-12-24T05:45:01.283569000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,168,2023-12-24T05:45:01.283569000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,135,2023-12-24T05:45:01.283569000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,167,2023-12-24T14:30:00.976060000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,175,2023-12-24T14:30:00.976060000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,162,2023-12-24T14:30:00.976060000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,138,2023-12-24T14:30:00.976060000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,174,2023-12-24T14:30:00.976060000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,136,2023-12-24T14:30:00.976060000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,158,2023-12-24T08:00:01.643327000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,161,2023-12-24T08:00:01.643327000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,163,2023-12-24T08:00:01.643327000,Krankenhaus -> Höhle
